Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"12727"	""	618427124	725496873	678171010	662356844
"12728"	""	618432070	725502715	678183042	662363642
"12729"	""	618437012	725508551	678195074	662370432
"12730"	""	618441954	725514373	678207100	662377222
"12731"	""	618446895	725520194	678219125	662384012
"12732"	""	618451836	725526014	678231147	662390800
"12733"	""	618456775	725531833	678243167	662397588
"12734"	""	618461714	725537648	678255183	662404374
"12735"	""	618466652	725543461	678267199	662411158
"12736"	""	618471589	725549271	678279214	662417938
"12737"	""	618476522	725555080	678291228	662424698
"12738"	""	618481449	725560886	678303242	662431457
"12739"	""	618486376	725566690	678315256	662438215
"12740"	""	618491298	725572494	678327266	662444972
"12741"	""	618496220	725578297	678339274	662451729
"12742"	""	618501134	725584099	678351280	662458483
"12743"	""	618506048	725589899	678363286	662465236
"12744"	""	618510962	725595698	678375291	662471989
"12745"	""	618515875	725601496	678387295	662478741
"12746"	""	618520787	725607293	678399298	662485491
"12747"	""	618525695	725613090	678411301	662492235
"12748"	""	618530603	725618883	678423303	662498979
"12749"	""	618535510	725624668	678435299	662505721
"12750"	""	618540417	725630453	678447293	662512463
"12751"	""	618545324	725636236	678459286	662519201
"12752"	""	618550231	725642017	678471277	662525936
"12753"	""	618555137	725647797	678483267	662532666
"12754"	""	618560043	725653574	678495254	662539396
"12755"	""	618564945	725659350	678507241	662546125
"12756"	""	618569846	725665124	678519228	662552845
"12757"	""	618574747	725670898	678531207	662559564
"12758"	""	618579647	725676671	678543185	662566283
"12759"	""	618584545	725682443	678555161	662573001
"12760"	""	618589443	725688214	678567137	662579718
"12761"	""	618594339	725693984	678579113	662586434
"12762"	""	618599233	725699752	678591089	662593149
"12763"	""	618604127	725705517	678603062	662599864
"12764"	""	618609021	725711281	678615034	662606578
"12765"	""	618613914	725717045	678627006	662613289
"12766"	""	618618805	725722809	678638976	662619997
"12767"	""	618623695	725728571	678650944	662626705
"12768"	""	618628584	725734332	678662909	662633412
"12769"	""	618633471	725740091	678674867	662640117
"12770"	""	618638358	725745849	678686824	662646821
"12771"	""	618643244	725751606	678698777	662653523
"12772"	""	618648128	725757363	678710728	662660223
"12773"	""	618653012	725763117	678722677	662666920
"12774"	""	618657895	725768870	678734625	662673616
"12775"	""	618662777	725774620	678746572	662680312
"12776"	""	618667657	725780368	678758517	662687007
"12777"	""	618672536	725786116	678770461	662693701
"12778"	""	618677412	725791862	678782404	662700395
"12779"	""	618682284	725797605	678794346	662707087
"12780"	""	618687154	725803348	678806286	662713775
"12781"	""	618692023	725809089	678818224	662720463
"12782"	""	618696891	725814830	678830161	662727144
"12783"	""	618701758	725820566	678842098	662733821
"12784"	""	618706620	725826302	678854035	662740495
"12785"	""	618711482	725832033	678865972	662747168
"12786"	""	618716343	725837764	678877908	662753830
"12787"	""	618721204	725843495	678889840	662760491
"12788"	""	618726065	725849223	678901768	662767149
"12789"	""	618730925	725854949	678913690	662773803
"12790"	""	618735783	725860675	678925612	662780456
"12791"	""	618740639	725866400	678937531	662787109
"12792"	""	618745495	725872120	678949437	662793757
"12793"	""	618750350	725877840	678961340	662800403
"12794"	""	618755204	725883558	678973240	662807045
"12795"	""	618760057	725889273	678985138	662813687
"12796"	""	618764909	725894988	678997036	662820328
"12797"	""	618769756	725900703	679008931	662826967
"12798"	""	618774599	725906418	679020826	662833606
"12799"	""	618779440	725912127	679032721	662840244
"12800"	""	618784276	725917834	679044613	662846882
"12801"	""	618789111	725923539	679056505	662853519
"12802"	""	618793944	725929243	679068396	662860155
"12803"	""	618798776	725934946	679080286	662866791
"12804"	""	618803604	725940645	679092176	662873423
"12805"	""	618808431	725946344	679104062	662880055
"12806"	""	618813257	725952042	679115945	662886686
"12807"	""	618818082	725957740	679127826	662893315
"12808"	""	618822904	725963437	679139706	662899943
"12809"	""	618827723	725969134	679151579	662906570
"12810"	""	618832541	725974830	679163451	662913197
"12811"	""	618837357	725980525	679175320	662919823
"12812"	""	618842172	725986219	679187188	662926446
"12813"	""	618846985	725991907	679199053	662933067
"12814"	""	618851792	725997595	679210918	662939685
"12815"	""	618856598	726003283	679222782	662946301
"12816"	""	618861400	726008969	679234643	662952913
"12817"	""	618866202	726014655	679246503	662959521
"12818"	""	618871003	726020340	679258362	662966129
"12819"	""	618875801	726026022	679270215	662972736
