Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"4670"	""	476117888	545703131	729742150	467983229	619894075	240259260	497340397	680138198
"4671"	""	476158033	545753281	729761978	468031753	619939430	240290944	497386141	680158485
"4672"	""	476198176	545803430	729781773	468080272	619984781	240322626	497431867	680178771
"4673"	""	476238293	545853568	729801567	468128790	620030092	240354307	497477586	680199043
"4674"	""	476278380	545903697	729821359	468177307	620075366	240385983	497523292	680219305
"4675"	""	476318463	545953823	729841143	468225822	620120635	240417658	497568989	680239563
"4676"	""	476358532	546003943	729860912	468274337	620165899	240449325	497614680	680259819
"4677"	""	476398601	546054056	729880650	468322840	620211147	240480990	497660356	680280066
"4678"	""	476438660	546104167	729900334	468371338	620256394	240512651	497706014	680300277
"4679"	""	476478692	546154273	729920006	468419810	620301626	240544311	497751665	680320487
"4680"	""	476518724	546204363	729939676	468468278	620346848	240575967	497797315	680340679
"4681"	""	476558755	546254442	729959342	468516734	620392068	240607621	497842928	680360853
"4682"	""	476598782	546304408	729978958	468565182	620437286	240639274	497888533	680381005
"4683"	""	476638808	546354361	729998572	468613614	620482504	240670907	497934132	680401148
"4684"	""	476678814	546404267	730018176	468662038	620527690	240702535	497979727	680421279
"4685"	""	476718816	546454167	730037779	468710457	620572861	240734162	498025318	680441360
"4686"	""	476758811	546504061	730057360	468758875	620618018	240765788	498070893	680461441
"4687"	""	476798794	546553952	730076910	468807276	620663171	240797400	498116468	680481492
"4688"	""	476838765	546603840	730096444	468855638	620708315	240829012	498162036	680501533
"4689"	""	476878736	546653718	730115952	468903981	620753447	240860624	498207584	680521562
"4690"	""	476918696	546703596	730135451	468952304	620798575	240892235	498253114	680541578
"4691"	""	476958642	546753473	730154949	469000624	620843697	240923843	498298603	680561573
"4692"	""	476998583	546803338	730174446	469048940	620888813	240955450	498344086	680581562
"4693"	""	477038522	546853182	730193936	469097255	620933912	240987055	498389567	680601543
"4694"	""	477078445	546903006	730213419	469145565	620978988	241018654	498435026	680621516
"4695"	""	477118361	546952820	730232899	469193865	621024048	241050252	498480480	680641488
"4696"	""	477158243	547002601	730252360	469242160	621069108	241081847	498525931	680661440
"4697"	""	477198119	547052371	730271814	469290455	621114161	241113434	498571371	680681371
"4698"	""	477237974	547102125	730291263	469338750	621159214	241145020	498616804	680701298
"4699"	""	477277826	547151879	730310711	469387036	621204258	241176600	498662232	680721224
"4700"	""	477317672	547201575	730330149	469435321	621249293	241208178	498707613	680741144
"4701"	""	477357514	547251248	730349578	469483605	621294315	241239752	498752991	680760981
"4702"	""	477397353	547300913	730368946	469531880	621339321	241271324	498798347	680780816
"4703"	""	477437188	547350564	730388271	469580144	621384324	241302894	498843691	680800622
"4704"	""	477477011	547400200	730407586	469628399	621429321	241334464	498889022	680820424
"4705"	""	477516833	547449806	730426898	469676638	621474307	241366032	498934348	680840215
"4706"	""	477556654	547499411	730446203	469724871	621519270	241397595	498979668	680860004
"4707"	""	477596468	547549016	730465500	469773094	621564211	241429145	499024988	680879786
"4708"	""	477636245	547598620	730484793	469821312	621609140	241460694	499070306	680899552
"4709"	""	477676018	547648185	730504081	469869522	621654068	241492237	499115622	680919282
"4710"	""	477715790	547697743	730523366	469917729	621698993	241523778	499160926	680939009
"4711"	""	477755548	547747266	730542641	469965933	621743907	241555318	499206223	680958735
"4712"	""	477795296	547796784	730561873	470014125	621788818	241586855	499251508	680978424
"4713"	""	477835035	547846302	730581090	470062292	621833725	241618383	499296767	680998106
"4714"	""	477874770	547895809	730600301	470110456	621878612	241649907	499342021	681017757
"4715"	""	477914497	547945300	730619499	470158580	621923498	241681417	499387260	681037403
"4716"	""	477954219	547994767	730638690	470206703	621968382	241712921	499432495	681057043
"4717"	""	477993937	548044217	730657825	470254801	622013265	241744424	499477712	681076681
"4718"	""	478033653	548093662	730676949	470302896	622058125	241775925	499522926	681096310
"4719"	""	478073366	548143101	730696054	470350967	622102973	241807418	499568116	681115902
"4720"	""	478113071	548192538	730715142	470399036	622147811	241838909	499613296	681135484
"4721"	""	478152766	548241973	730734211	470447104	622192648	241870395	499658473	681155059
"4722"	""	478192446	548291405	730753277	470495164	622237479	241901880	499703648	681174628
"4723"	""	478232123	548340829	730772330	470543215	622282303	241933365	499748819	681194192
"4724"	""	478271797	548390244	730791382	470591261	622327109	241964849	499793989	681213748
